id,name,description,symbol,scientific_name,traditional_uses,current_evidence_summary,contraindications,interactions,toxicity_notes
1,Lavender,Known for its calming properties.,🌿,,,,,,
2,Chamomile,A gentle herb often used in teas for relaxation.,🌼,,,,,,
3,Peppermint,"Refreshing and invigorating, great for focus.",🍃,,,,,,
4,Rosemary,Improves memory and adds a wonderful aroma.,🌿,,,,,,
5,Eucalyptus,Used for respiratory relief.,🌳,,,,,,
6,Calendula,Excellent for skin healing and inflammation.,🌻,,,,,,
7,Tea Tree,A powerful antiseptic.,🌱,,,,,,
8,Aloe Vera,"Succulent, 1–2 ft tall, grows well in pots; thick gel-filled leaves.",🌿,Aloe vera / Aloe barbadensis,"Topical gel for burns, minor skin irritation.",Topical use supported for minor burns and abrasions; limited evidence for wound healing; oral latex use not recommended.,"Avoid oral latex (can cause severe diarrhea, electrolyte loss). Avoid topical use on deep wounds without supervision.",Oral aloe latex may reduce absorption of some drugs.,Aloe latex is a strong laxative; not recommended orally. Rare contact dermatitis possible.
9,Angelica,"Tall biennial herb 5–8 ft, aromatic stems/roots.",🌿,Angelica archangelica,"Digestive aid, cough/bronchial relief in traditional medicine.",Limited evidence for mild digestive support; essential oil phototoxic; not for high-dose internal use without guidance.,"Avoid in pregnancy, with bleeding disorders, or with anticoagulants.",May interact with anticoagulants and photosensitizing drugs.,Can cause photosensitivity; high doses toxic to animals.
10,Anise,"Annual, ~2 ft tall, aromatic seeds.",🌿,Pimpinella anisum,"Carminative, galactagogue in traditional medicine.",Some evidence for digestive relief; limited and mixed evidence for increasing milk production.,Avoid in known allergy to Apiaceae family; high doses not for pregnancy without supervision.,May enhance effects of estrogenic drugs; caution with anticoagulants.,Rare allergic reactions; high essential oil doses neurotoxic.
11,Arnica,"Perennial 1–2 ft tall, bright yellow flowers.",🌿,Arnica montana,Topical liniments for bruises and sprains.,Supported for topical use on unbroken skin; not for internal use.,Do not apply to broken skin or use internally; avoid during pregnancy.,May interact with anticoagulants when applied over large areas.,Internal ingestion can cause serious poisoning; topical may cause dermatitis.
12,Basil,"Annual, 1–2 ft tall; aromatic leaves.",🌿,Ocimum basilicum,"Culinary herb, rubbed on stings; digestive aid in folk medicine.",Limited evidence for mild anti-inflammatory/antimicrobial effects.,Avoid in high medicinal doses during pregnancy; may cause skin reaction.,May interact with anticoagulants.,Rare allergic skin reactions.
13,Bay Leaf,"Evergreen shrub/tree, grown in pots in temperate zones.",🌿,Laurus nobilis,"Culinary spice, digestive aid in folk use.",Limited human evidence for mild digestive support.,Avoid in pregnancy in medicinal doses; not for internal use of ornamental bay (toxic species confusion possible).,May interact with diabetes medications.,Large amounts can cause GI upset.
14,Bee Balm,"Perennial, 3–4 ft tall, aromatic leaves.",🌿,Monarda didyma,"Folk use for colds, fevers, nausea, menstrual cramps.",Limited evidence for antimicrobial effects; mainly traditional use.,Avoid if allergic to Lamiaceae plants.,May interact with sedatives.,Essential oil can irritate skin.
15,Betony,"Perennial, ~3 ft tall.",🌿,Stachys officinalis,"Historically for headaches, digestive issues, wound care.",No strong clinical evidence; mostly traditional.,Avoid high doses in pregnancy.,None well-documented.,Generally regarded as low toxicity.
16,Birch,Deciduous tree; leaves and bark aromatic.,🌿,Betula spp.,"Folk use for pain, fever, kidney issues; birch beer flavoring.",Limited evidence for anti-inflammatory effects.,Avoid with aspirin allergy (contains salicylates).,May interact with anticoagulants and NSAIDs.,Can cause allergic reactions in birch-pollen-sensitive individuals.
17,Blue Cohosh,Perennial woodland plant.,🌿,Caulophyllum thalictroides,Traditional use for menstrual and childbirth support.,Modern research shows potential cardiovascular and uterine stimulant effects; unsafe without professional oversight.,Avoid in pregnancy except under medical supervision; avoid with heart disease or high blood pressure.,"May interact with antihypertensives, anticoagulants.","Can cause serious adverse effects including hypertension, heart stress, and neonatal complications."
11,Boneset,Eupatorium perfoliatum,"Perennial, 2–5 ft tall; white clusters of flowers.","Folk use in teas for colds, aches, fever.",Limited clinical evidence; may have mild immune-modulating effects; traditional use exceeds modern support.,Avoid in pregnancy/lactation; avoid in liver disease due to pyrrolizidine alkaloids.,None well-documented.,Raw plant can cause nausea; contains hepatotoxic compounds if taken in large amounts.,
12,Borage,Borago officinalis,"Annual, 2–3 ft tall; hairy leaves, blue star-shaped flowers.","Used for fevers, bronchitis, mood lifting; poultices for swelling.",Seed oil contains gamma-linolenic acid (GLA) with some evidence for inflammation; fresh leaves contain pyrrolizidine alkaloids (toxic to liver).,"Avoid in pregnancy, lactation, liver disease.",May interact with anticoagulants and anti-inflammatory drugs.,Prolonged use or high doses can cause liver toxicity; skin contact may cause dermatitis.,
13,Calendula,Calendula officinalis,"Annual/perennial, 1–2 ft tall; bright orange/yellow flowers.","Topical salves for cuts, bruises, skin irritation.",Topical use supported for minor wounds and dermatitis; limited human evidence for oral use.,Avoid if allergic to Asteraceae plants.,May interact with sedatives.,Generally safe topically; rare allergic reactions.,
14,Cardamom,Elettaria cardamomum,"Tropical perennial, 6–12 ft tall; aromatic pods.","Chewed for digestion, breath freshening.",Some human evidence for mild digestive and blood pressure support.,Avoid in gallstone disease without medical guidance.,May interact with anticoagulants and antiplatelets.,Generally recognized as safe in culinary amounts.,
15,Cayenne Pepper,Capsicum annuum,"Annual, ~1 ft tall; pungent red peppers.","Folk use for circulation, pain relief, digestion.",Capsaicin supported for topical pain relief; oral use may increase metabolism slightly.,"Avoid in GI ulcers, gastritis; avoid touching eyes/mucosa.",May increase absorption of some drugs; may interact with anticoagulants.,"Can cause GI irritation, burning sensations.",
16,Chamomile,Chamaemelum nobile / Matricaria recutita,"Annual/perennial, 1–3 ft tall; aromatic daisy-like flowers.","Teas for relaxation, digestion, headaches.",Human evidence supports mild sedative and digestive effects.,Avoid if allergic to Asteraceae; caution in pregnancy with high doses.,"May interact with anticoagulants, sedatives.",Generally safe; rare allergic reactions.,
17,Chervil,Anthriscus cerefolium,"Annual, ~2 ft tall; parsley-like leaves.","Used as mild diuretic, expectorant, BP-lowering.",Minimal clinical evidence; mostly culinary/traditional use.,Avoid in pregnancy in medicinal doses.,May interact with diuretics.,Generally recognized as safe in culinary amounts.,
18,Chicory,Cichorium intybus,"Perennial, 3–5 ft tall; blue flowers.",Root coffee substitute; flower tea for calming.,Some evidence for prebiotic effects from inulin in roots; mild sedative effect anecdotal.,Avoid in gallstones; avoid in pregnancy with high doses.,May interact with diuretics.,Generally safe in food amounts.,
19,Chives,Allium schoenoprasum,"Perennial, 1–1.5 ft tall; mild onion-flavored leaves.",Culinary; said to lower BP.,Limited direct research; related Allium species have cardioprotective compounds.,Avoid in known Allium allergy.,May interact with anticoagulants.,Generally safe; large amounts may cause GI upset.,
20,Clary Sage,Salvia sclarea,"Biennial/perennial, 3–4 ft tall; aromatic leaves and flowers.","Used topically for wounds, sore throats, colic; seed tea as eyewash.",Essential oil has limited evidence for relaxation and antimicrobial activity.,Avoid in pregnancy with high medicinal doses.,May interact with sedatives and antihypertensives.,Essential oil can irritate skin in sensitive people.,
