id,name,description,symbol,scientific_name,traditional_uses,current_evidence_summary,contraindications,interactions,toxicity_notes
1,Aloe Vera,"Succulent plant with thick gel-filled leaves, commonly grown as houseplant.",🌿,Aloe vera,"Topical application for minor burns and skin irritation.","Limited evidence for topical wound healing.","Avoid internal use without medical supervision.","May affect absorption of some medications when used internally.","Internal use can cause digestive upset."
2,Angelica,"Tall aromatic biennial herb with compound leaves.",🌿,Angelica archangelica,"Traditional digestive aid and respiratory support.","Limited scientific evidence.","Avoid during pregnancy and breastfeeding.","May interact with blood thinning medications.","Can cause photosensitivity."
3,Anise,"Annual herb with aromatic seeds used as culinary spice.",🌿,Pimpinella anisum,"Digestive aid and flavoring.","Some evidence for digestive benefits.","Avoid large amounts during pregnancy.","May interact with hormone-sensitive medications.","Generally safe in culinary amounts."
4,Basil,"Annual culinary herb with aromatic leaves.",🌿,Ocimum basilicum,"Culinary herb and traditional digestive aid.","Limited evidence for medicinal benefits.","Avoid large amounts during pregnancy.","May interact with blood thinning medications.","Generally safe in culinary amounts."
5,Bay Leaf,"Evergreen tree with aromatic leaves used in cooking.",🌿,Laurus nobilis,"Culinary spice and traditional digestive aid.","Limited evidence for digestive benefits.","Avoid large amounts during pregnancy.","May interact with diabetes medications.","Generally safe in culinary amounts."
6,Calendula,"Annual flower with bright orange or yellow petals.",🌻,Calendula officinalis,"Topical application for skin conditions.","Some evidence for wound healing properties.","Avoid if allergic to plants in the daisy family.","May interact with sedative medications.","Generally safe for topical use."
7,Chamomile,"Annual herb with small daisy-like flowers.",🌼,Matricaria chamomilla,"Calming tea and topical skin treatment.","Some evidence for mild sedative effects.","Avoid if allergic to plants in the daisy family.","May interact with blood thinning and sedative medications.","Generally safe in moderate amounts."
8,Chives,"Perennial herb with mild onion-flavored leaves.",🌿,Allium schoenoprasum,"Culinary herb.","Limited evidence for health benefits.","Avoid large amounts if allergic to onions.","May interact with blood thinning medications.","Generally safe in culinary amounts."
9,Coriander,"Annual herb with aromatic leaves and seeds.",🌿,Coriandrum sativum,"Culinary spice and traditional digestive aid.","Limited evidence for digestive benefits.","Avoid large amounts during pregnancy.","May interact with blood thinning medications.","Generally safe in culinary amounts."
10,Dandelion,"Perennial herb with toothed leaves and yellow flowers.",🌻,Taraxacum officinale,"Traditional liver and kidney support.","Limited evidence for diuretic effects.","Avoid if allergic to plants in the daisy family.","May interact with diuretic and diabetes medications.","Generally safe in moderate amounts."
11,Dill,"Annual herb with feathery leaves and aromatic seeds.",🌿,Anethum graveolens,"Culinary herb and traditional digestive aid.","Limited evidence for digestive benefits.","Avoid large amounts during pregnancy.","May interact with blood thinning medications.","Generally safe in culinary amounts."
12,Echinacea,"Perennial herb with purple cone-shaped flowers.",🌸,Echinacea purpurea,"Traditional immune system support.","Mixed evidence for cold prevention.","Avoid if allergic to plants in the daisy family.","May interact with immune-suppressing medications.","Generally safe for short-term use."
13,Eucalyptus,"Evergreen tree with aromatic leaves.",🌳,Eucalyptus globulus,"Traditional respiratory support.","Limited evidence for respiratory benefits.","Avoid internal use without medical supervision.","May interact with diabetes medications.","Essential oil can be toxic if ingested."
14,Fennel,"Perennial herb with feathery leaves and aromatic seeds.",🌿,Foeniculum vulgare,"Culinary spice and traditional digestive aid.","Limited evidence for digestive benefits.","Avoid large amounts during pregnancy.","May interact with hormone-sensitive medications.","Generally safe in culinary amounts."
15,Garlic,"Perennial bulb vegetable with pungent cloves.",🌿,Allium sativum,"Culinary ingredient and traditional cardiovascular support.","Some evidence for cardiovascular benefits.","Avoid large amounts before surgery.","May interact with blood thinning medications.","Generally safe in culinary amounts."
16,Ginger,"Perennial herb with aromatic underground stem.",🌿,Zingiber officinale,"Culinary spice and traditional digestive aid.","Good evidence for nausea relief.","Avoid large amounts before surgery.","May interact with blood thinning medications.","Generally safe in culinary amounts."
17,Lavender,"Perennial shrub with aromatic purple flowers.",💜,Lavandula angustifolia,"Aromatherapy and traditional calming agent.","Some evidence for anxiety and sleep benefits.","Avoid large amounts during pregnancy.","May interact with sedative medications.","Generally safe for topical and aromatherapy use."
18,Lemon Balm,"Perennial herb with lemon-scented leaves.",🌿,Melissa officinalis,"Traditional calming agent.","Some evidence for anxiety relief.","Avoid large amounts during pregnancy.","May interact with sedative and thyroid medications.","Generally safe in moderate amounts."
19,Marjoram,"Perennial herb with small aromatic leaves.",🌿,Origanum majorana,"Culinary herb and traditional digestive aid.","Limited evidence for medicinal benefits.","Avoid large amounts during pregnancy.","May interact with blood thinning medications.","Generally safe in culinary amounts."
20,Mint,"Perennial herb with aromatic leaves.",🍃,Mentha species,"Culinary herb and traditional digestive aid.","Some evidence for digestive benefits.","Avoid large amounts if prone to heartburn.","May interact with acid-reducing medications.","Generally safe in culinary amounts."
21,Oregano,"Perennial herb with small aromatic leaves.",🌿,Origanum vulgare,"Culinary herb with traditional antimicrobial uses.","Limited evidence for antimicrobial effects.","Avoid large amounts during pregnancy.","May interact with blood thinning medications.","Generally safe in culinary amounts."
22,Parsley,"Biennial herb with flat or curly leaves.",🌿,Petroselinum crispum,"Culinary herb and traditional diuretic.","Limited evidence for diuretic effects.","Avoid large amounts during pregnancy.","May interact with diuretic medications.","Generally safe in culinary amounts."
23,Peppermint,"Perennial herb with aromatic menthol-scented leaves.",🍃,Mentha × piperita,"Traditional digestive aid.","Some evidence for digestive benefits.","Avoid large amounts if prone to heartburn.","May interact with acid-reducing medications.","Generally safe in moderate amounts."
24,Rosemary,"Evergreen shrub with needle-like aromatic leaves.",🌿,Rosmarinus officinalis,"Culinary herb and traditional memory aid.","Limited evidence for cognitive benefits.","Avoid large amounts during pregnancy.","May interact with blood thinning medications.","Generally safe in culinary amounts."
25,Sage,"Perennial herb with gray-green aromatic leaves.",🌿,Salvia officinalis,"Culinary herb and traditional antiseptic.","Limited evidence for cognitive and antimicrobial effects.","Avoid large amounts during pregnancy and breastfeeding.","May interact with sedative and diabetes medications.","Generally safe in culinary amounts."
26,Thyme,"Perennial herb with small aromatic leaves.",🌿,Thymus vulgaris,"Culinary herb and traditional antiseptic.","Limited evidence for antimicrobial effects.","Avoid large amounts during pregnancy.","May interact with blood thinning medications.","Generally safe in culinary amounts."
27,Valerian,"Perennial herb with small white or pink flowers.",🌸,Valeriana officinalis,"Traditional sleep aid.","Some evidence for sleep improvement.","Avoid during pregnancy and when driving.","May interact with sedative medications.","Generally safe for short-term use."
28,Yarrow,"Perennial herb with feathery leaves and white flowers.",🌸,Achillea millefolium,"Traditional wound treatment.","Limited evidence for anti-inflammatory effects.","Avoid during pregnancy and if allergic to plants in the daisy family.","May interact with blood thinning medications.","Generally safe for topical use."
